"Sample ID","Total Reads","Total Mapped Reads","% Total Mapped Reads","Unique Mapped Reads","% Unique Mapped Reads"
"101","28515517","28093285","98.5192903919645","26974311","94.5952023244046"
"103","21058389","20744545","98.5096485775811","19934320","94.6621320367859"
"104","21284187","20984745","98.5931245576822","20198526","94.8992132046199"
"105","22832527","22481161","98.4611164589885","21644644","94.7974089771141"
"108","31862476","31376173","98.4737438484065","30127882","94.5559974686211"
"109","25470412","25094518","98.524193483796","24133299","94.7503283417638"
"110","34708020","34170134","98.4502544368708","32827033","94.5805407511002"
"88","22444816","22137782","98.6320493783509","21218730","94.5373310255696"
"89","19469628","19177640","98.5002897846841","18345379","94.2256267043212"
"90","19670026","19378591","98.5183801993958","18552482","94.3185433511882"
"92","24631246","24286037","98.5984915257637","23280482","94.516054932828"
"93","22163282","21831881","98.5047295793105","20972857","94.628841522659"
"94","20036530","19601754","97.8300833527562","18776879","93.7132277894426"
"97","39504503","38928417","98.5417206742229","37286823","94.3862602194995"
"99","21535326","21184811","98.3723719808096","20382327","94.6460109310627"
"P1-L-Lu","20773213","19628627","94.4900868247969","18215250","87.6862428551616"
"P1-LR-nTreat","17736436","17219500","97.0854573038236","16030326","90.3807619524013"
"P1-NC-nTreat","24638876","23942985","97.1756382068727","22579189","91.640499347454"
"P1-R-Lu","20804367","20192136","97.0571995773772","18849751","90.6047802367647"
"P2-NT-Lu","30112286","29224368","97.0513098872666","27490885","91.294579893403"
"P2-R-nTreat","20698475","20011866","96.6828039263762","18707548","90.381286544057"
