Sample ID,Total Reads,Total Mapped Reads,% Total Mapped Reads,Unique Mapped Reads,% Unique Mapped Reads
X101,28515517,28093285,98.51929039,26974311,94.59520232
X103,21058389,20744545,98.50964858,19934320,94.66213204
X104,21284187,20984745,98.59312456,20198526,94.8992132
X105,22832527,22481161,98.46111646,21644644,94.79740898
X108,31862476,31376173,98.47374385,30127882,94.55599747
X109,25470412,25094518,98.52419348,24133299,94.75032834
X110,34708020,34170134,98.45025444,32827033,94.58054075
X88,22444816,22137782,98.63204938,21218730,94.53733103
X89,19469628,19177640,98.50028978,18345379,94.2256267
X90,19670026,19378591,98.5183802,18552482,94.31854335
X92,24631246,24286037,98.59849153,23280482,94.51605493
X93,22163282,21831881,98.50472958,20972857,94.62884152
X94,20036530,19601754,97.83008335,18776879,93.71322779
X97,39504503,38928417,98.54172067,37286823,94.38626022
X99,21535326,21184811,98.37237198,20382327,94.64601093
