Gene,Symbol,Ure,Ure,Ure,Ure_DMXAA,Ure_DMXAA,Ure_DMXAA,Ure_RT,Ure_RT,Ure_RT,Ure_RT_DMXAA,Ure_RT_DMXAA,Ure_RT_DMXAA,PBS_RT_DMXAA,PBS_RT_DMXAA,PBS_RT_DMXAA
ENSMUSG00000051951,Xkr4,1.093671112,1.2098843,0.54004316,1.309843392,1.563691396,1.258849763,0.969439562,1.537787619,1.701269541,2.036854398,1.804898253,1.192468887,1.615638326,2.384303967,1.67511523
ENSMUSG00000025900,Rp1,11.04087027,10.28401655,10.56084401,12.20961162,10.68522454,10.12801854,13.42526908,10.12818742,13.89370125,13.02514786,11.57258292,11.77563025,13.14542093,12.33418783,15.89717199
ENSMUSG00000025902,Sox17,59.78735412,73.25849438,68.88550527,68.48609737,66.40476126,52.47114692,69.56463278,58.80711964,61.97481898,55.04867018,70.17869091,57.18882035,71.0513673,72.53786298,79.22309678
ENSMUSG00000102269,Gm7357,0.416636614,0.84691901,0.660052751,1.684084362,0.833968744,0.514983994,1.057570431,0.424217274,0.445570594,0.804021473,0.955534369,0.745293054,0.146876211,0.412667994,0.78828952
ENSMUSG00000033845,Mrpl15,19.68608001,19.84210252,21.24169762,18.52492798,19.80675768,18.65386466,16.68611124,18.82464155,20.53675374,17.04525523,17.8897268,18.03609191,20.37907434,19.25783973,18.7547215
ENSMUSG00000025903,Lypla1,66.7660174,66.84610759,62.22497297,53.70357909,55.56316759,59.62370239,58.69515891,65.06432444,72.10142339,70.64668676,66.03804197,66.97700246,76.00843944,72.40030699,68.1213527
ENSMUSG00000033813,Tcea1,89.47271287,81.90916713,71.40570669,77.14041978,72.50315771,81.42469146,75.17563146,81.50274382,83.88879092,77.66847429,77.82296586,73.13809171,85.92258371,78.08595491,76.26701108
ENSMUSG00000033793,Atp6v1h,60.36022946,59.10284807,65.10520316,53.70357909,55.61529063,59.62370239,56.58001805,75.77581061,67.80774312,70.96829535,66.25038294,72.59154347,70.50058151,75.01387095,66.70900064
ENSMUSG00000025907,Rb1cc1,96.92009235,94.97591757,80.82645959,96.32026946,89.54739392,98.36194281,100.2635522,97.03970149,103.9799741,97.92981541,90.35108315,92.56539732,98.73753317,100.1866186,100.3755322
ENSMUSG00000090031,4732440D04Rik,4.739241485,5.262996706,4.200335687,5.473274175,5.264427698,4.234312838,4.670936069,4.560335698,3.92912251,4.341715954,4.936927575,6.310147858,3.304714758,3.989123944,5.813635211
ENSMUSG00000087247,Alkal1,4.114286564,4.960525631,7.320585055,4.537671752,5.629289024,5.435942157,3.672119551,5.408770247,6.400013986,5.145737427,6.5825701,6.60826508,6.205519935,9.353807869,5.912171401
ENSMUSG00000051285,Pcmtd1,109.7316682,103.5660961,96.54771602,118.6343872,106.1225227,112.7814946,112.5137431,99.85014093,108.5571993,107.5244717,97.67684665,104.5397724,97.63596158,103.7630745,107.8314373
ENSMUSG00000103509,Gm38372,2.08318307,1.875320665,0.660052751,2.666466906,2.762521465,2.002715531,3.084580423,1.749896256,1.984814464,2.626470145,1.698727768,2.881799809,1.175009692,1.696523976,2.529095544
ENSMUSG00000061024,Rrs1,25.46691303,29.33969428,28.68229227,23.24972021,21.78743344,23.86092505,23.91284252,27.14990555,25.64056236,21.17256546,24.36612642,23.55126051,30.66040915,23.98059566,24.92965608
ENSMUSG00000025911,Adhfe1,13.12405334,9.376603327,10.14081045,14.31471707,9.955501885,12.18795452,12.69084517,9.067644237,11.58483544,9.701859107,10.35162233,8.844144242,9.179763217,8.849435876,11.75865201
ENSMUSG00000079671,2610203C22Rik,7.134902016,8.166719027,6.960556282,7.531599506,7.349349559,6.179807925,5.992899108,5.832987521,7.777232185,7.34339612,7.750445441,6.161089247,7.894596367,7.336319897,8.211349168
ENSMUSG00000025912,Mybl1,3.385172489,3.508664471,3.300263754,2.526126542,2.345537093,3.604887957,3.290219118,4.719417176,4.536718775,3.108883029,3.928307963,4.869247953,4.185972027,4.631051935,4.237056171
