#Uploaded_variation	Location	Allele	Gene	Feature	Feature_type	Consequence	cDNA_position	CDS_position	Protein_position	Amino_acids	Codons	Existing_variation	Extra
.	10:44169901-44169901	A	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER;UPLOADED_ALLELE=-/A
.	10:69460824-69460826	-	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER;REF_ALLELE=CT;UPLOADED_ALLELE=CT/-
.	10:85342113-85342116	-	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER;REF_ALLELE=AAG;UPLOADED_ALLELE=AAG/-
.	10:115272307-115272308	-	MGP_AJ_G0017729	MGP_AJ_T0027127.1	Transcript	intron_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Frs2;BIOTYPE=protein_coding;INTRON=9/9;REF_ALLELE=T;UPLOADED_ALLELE=T/-;STRAND=-1;SYMBOL_SOURCE=MGI
.	10:123175936-123175937	-	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER;REF_ALLELE=T;UPLOADED_ALLELE=T/-
.	11:57651587-57651589	-	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER;REF_ALLELE=TC;UPLOADED_ALLELE=TC/-
.	11:84806142-84806143	-	MGP_AJ_G0010804	MGP_AJ_T0012709.1	Transcript	downstream_gene_variant	-	-	-	-	-	-	IMPACT=MODIFIER;BIOTYPE=processed_pseudogene;REF_ALLELE=A;UPLOADED_ALLELE=A/-;DISTANCE=2630;STRAND=-1
.	11:84806142-84806143	-	MGP_AJ_G0018859	MGP_AJ_T0031401.1	Transcript	intron_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Vmp1;BIOTYPE=protein_coding;INTRON=7/11;REF_ALLELE=A;UPLOADED_ALLELE=A/-;STRAND=-1;SYMBOL_SOURCE=MGI
.	11:105121559-105121559	T	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER;UPLOADED_ALLELE=-/T
.	11:106939909-106939910	-	MGP_AJ_G0019293	MGP_AJ_T0033120.1	Transcript	intron_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Prkca;BIOTYPE=protein_coding;INTRON=2/16;REF_ALLELE=T;UPLOADED_ALLELE=T/-;STRAND=-1;SYMBOL_SOURCE=MGI
.	11:106939909-106939910	-	MGP_AJ_G0019293	MGP_AJ_T0033123.1	Transcript	intron_variant,non_coding_transcript_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Prkca;BIOTYPE=processed_transcript;INTRON=2/2;REF_ALLELE=T;UPLOADED_ALLELE=T/-;STRAND=-1;SYMBOL_SOURCE=MGI
.	11:119287293-119287293	T	MGP_AJ_G0019465	MGP_AJ_T0033974.1	Transcript	upstream_gene_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Faap100;BIOTYPE=retained_intron;UPLOADED_ALLELE=-/T;DISTANCE=1636;STRAND=-1;SYMBOL_SOURCE=MGI
.	11:119287293-119287293	T	MGP_AJ_G0019465	MGP_AJ_T0033975.1	Transcript	upstream_gene_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Faap100;BIOTYPE=protein_coding;UPLOADED_ALLELE=-/T;DISTANCE=1607;STRAND=-1;SYMBOL_SOURCE=MGI
.	11:119287293-119287293	T	MGP_AJ_G0019465	MGP_AJ_T0033978.1	Transcript	upstream_gene_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Faap100;BIOTYPE=retained_intron;UPLOADED_ALLELE=-/T;DISTANCE=1635;STRAND=-1;SYMBOL_SOURCE=MGI
.	11:119287293-119287293	T	MGP_AJ_G0019465	MGP_AJ_T0033979.1	Transcript	upstream_gene_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Faap100;BIOTYPE=processed_transcript;UPLOADED_ALLELE=-/T;DISTANCE=1662;STRAND=-1;SYMBOL_SOURCE=MGI
.	11:119287293-119287293	T	MGP_AJ_G0019465	MGP_AJ_T0033980.1	Transcript	upstream_gene_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Faap100;BIOTYPE=processed_transcript;UPLOADED_ALLELE=-/T;DISTANCE=1897;STRAND=-1;SYMBOL_SOURCE=MGI
.	11:119287293-119287293	T	MGP_AJ_G0019465	MGP_AJ_T0033981.1	Transcript	upstream_gene_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Faap100;BIOTYPE=processed_transcript;UPLOADED_ALLELE=-/T;DISTANCE=1636;STRAND=-1;SYMBOL_SOURCE=MGI
.	11:119287293-119287293	T	MGP_AJ_G0019466	MGP_AJ_T0033982.1	Transcript	3_prime_UTR_variant	4023-4024	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Nploc4;BIOTYPE=protein_coding;EXON=16/16;UPLOADED_ALLELE=-/T;STRAND=-1;SYMBOL_SOURCE=MGI
.	11:119287293-119287293	T	MGP_AJ_G0019466	MGP_AJ_T0033983.1	Transcript	3_prime_UTR_variant	4119-4120	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Nploc4;BIOTYPE=protein_coding;EXON=17/17;UPLOADED_ALLELE=-/T;STRAND=-1;SYMBOL_SOURCE=MGI
.	11:119287293-119287293	T	MGP_AJ_G0019466	MGP_AJ_T0033984.1	Transcript	downstream_gene_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Nploc4;BIOTYPE=processed_transcript;UPLOADED_ALLELE=-/T;DISTANCE=1946;STRAND=-1;SYMBOL_SOURCE=MGI
.	11:119862452-119862453	-	MGP_AJ_G0019500	MGP_AJ_T0034158.1	Transcript	intron_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Slc16a3;BIOTYPE=protein_coding;INTRON=1/5;REF_ALLELE=C;UPLOADED_ALLELE=C/-;STRAND=1;SYMBOL_SOURCE=MGI
.	11:119862452-119862453	-	MGP_AJ_G0019500	MGP_AJ_T0034159.1	Transcript	intron_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Slc16a3;BIOTYPE=protein_coding;INTRON=1/4;REF_ALLELE=C;UPLOADED_ALLELE=C/-;STRAND=1;SYMBOL_SOURCE=MGI
.	11:119862452-119862453	-	MGP_AJ_G0019500	MGP_AJ_T0034160.1	Transcript	intron_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Slc16a3;BIOTYPE=protein_coding;INTRON=1/4;REF_ALLELE=C;UPLOADED_ALLELE=C/-;STRAND=1;SYMBOL_SOURCE=MGI
.	11:119862452-119862453	-	MGP_AJ_G0019500	MGP_AJ_T0034161.1	Transcript	intron_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Slc16a3;BIOTYPE=protein_coding;INTRON=1/3;REF_ALLELE=C;UPLOADED_ALLELE=C/-;STRAND=1;SYMBOL_SOURCE=MGI
.	11:119862452-119862453	-	MGP_AJ_G0019500	MGP_AJ_T0034162.1	Transcript	intron_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Slc16a3;BIOTYPE=protein_coding;INTRON=1/5;REF_ALLELE=C;UPLOADED_ALLELE=C/-;STRAND=1;SYMBOL_SOURCE=MGI
.	11:119862452-119862453	-	MGP_AJ_G0019500	MGP_AJ_T0034163.1	Transcript	upstream_gene_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Slc16a3;BIOTYPE=protein_coding;REF_ALLELE=C;UPLOADED_ALLELE=C/-;DISTANCE=1149;STRAND=1;SYMBOL_SOURCE=MGI
.	11:119862452-119862453	-	MGP_AJ_G0019500	MGP_AJ_T0034164.1	Transcript	upstream_gene_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Slc16a3;BIOTYPE=processed_transcript;REF_ALLELE=C;UPLOADED_ALLELE=C/-;DISTANCE=1599;STRAND=1;SYMBOL_SOURCE=MGI
.	12:29238918-29238919	-	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER;REF_ALLELE=A;UPLOADED_ALLELE=A/-
.	12:104576267-104576268	-	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER;REF_ALLELE=G;UPLOADED_ALLELE=G/-
.	13:24958940-24958941	-	MGP_AJ_G0020358	MGP_AJ_T0036567.1	Transcript	intron_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Prl2c1;BIOTYPE=protein_coding;INTRON=4/5;REF_ALLELE=T;UPLOADED_ALLELE=T/-;STRAND=1;SYMBOL_SOURCE=MGI
.	13:24958940-24958941	-	MGP_AJ_G0020358	MGP_AJ_T0036568.1	Transcript	intron_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Prl2c1;BIOTYPE=protein_coding;INTRON=4/5;REF_ALLELE=T;UPLOADED_ALLELE=T/-;STRAND=1;SYMBOL_SOURCE=MGI
.	13:24958940-24958941	-	MGP_AJ_G0020358	MGP_AJ_T0036569.1	Transcript	intron_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Prl2c1;BIOTYPE=protein_coding;INTRON=3/4;REF_ALLELE=T;UPLOADED_ALLELE=T/-;STRAND=1;SYMBOL_SOURCE=MGI
.	13:24958940-24958941	-	MGP_AJ_G0020359	MGP_AJ_T0036570.1	Transcript	intron_variant	-	-	-	-	-	-	IMPACT=MODIFIER;BIOTYPE=protein_coding;INTRON=3/4;REF_ALLELE=T;UPLOADED_ALLELE=T/-;STRAND=1
.	13:24958940-24958941	-	MGP_AJ_G0020360	MGP_AJ_T0036571.1	Transcript	intron_variant	-	-	-	-	-	-	IMPACT=MODIFIER;BIOTYPE=protein_coding;INTRON=3/3;REF_ALLELE=T;UPLOADED_ALLELE=T/-;STRAND=1
.	13:24958940-24958941	-	MGP_AJ_G0020361	MGP_AJ_T0036572.1	Transcript	intron_variant	-	-	-	-	-	-	IMPACT=MODIFIER;BIOTYPE=protein_coding;INTRON=3/4;REF_ALLELE=T;UPLOADED_ALLELE=T/-;STRAND=1
.	14:66199559-66199560	-	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER;REF_ALLELE=A;UPLOADED_ALLELE=A/-
.	16:48480092-48480093	-	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER;REF_ALLELE=T;UPLOADED_ALLELE=T/-
.	17:10408343-10408344	-	MGP_AJ_G0023120	MGP_AJ_T0045543.1	Transcript	intron_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Pnldc1;BIOTYPE=protein_coding;INTRON=3/18;REF_ALLELE=A;UPLOADED_ALLELE=A/-;STRAND=-1;SYMBOL_SOURCE=MGI
.	17:10408343-10408344	-	MGP_AJ_G0023121	MGP_AJ_T0045544.1	Transcript	downstream_gene_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Mrpl18;BIOTYPE=protein_coding;REF_ALLELE=A;UPLOADED_ALLELE=A/-;DISTANCE=4565;STRAND=-1;SYMBOL_SOURCE=MGI
.	17:12391586-12391588	-	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER;REF_ALLELE=TG;UPLOADED_ALLELE=TG/-
.	17:25120979-25120980	-	MGP_AJ_G0023364	MGP_AJ_T0046361.1	Transcript	intron_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Crebrf;BIOTYPE=protein_coding;INTRON=1/9;REF_ALLELE=A;UPLOADED_ALLELE=A/-;STRAND=1;SYMBOL_SOURCE=MGI
.	17:25120979-25120980	-	MGP_AJ_G0023364	MGP_AJ_T0046362.1	Transcript	intron_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Crebrf;BIOTYPE=protein_coding;INTRON=1/3;REF_ALLELE=A;UPLOADED_ALLELE=A/-;STRAND=1;SYMBOL_SOURCE=MGI
.	17:25120979-25120980	-	MGP_AJ_G0023364	MGP_AJ_T0046363.1	Transcript	intron_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Crebrf;BIOTYPE=protein_coding;INTRON=1/6;REF_ALLELE=A;UPLOADED_ALLELE=A/-;STRAND=1;SYMBOL_SOURCE=MGI
.	17:25120979-25120980	-	MGP_AJ_G0023364	MGP_AJ_T0046364.1	Transcript	intron_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Crebrf;BIOTYPE=protein_coding;INTRON=1/3;REF_ALLELE=A;UPLOADED_ALLELE=A/-;STRAND=1;SYMBOL_SOURCE=MGI
.	17:86020977-86020979	-	MGP_AJ_G0009558	MGP_AJ_T0011436.1	Transcript	downstream_gene_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Gm27435;BIOTYPE=misc_RNA;REF_ALLELE=GC;UPLOADED_ALLELE=GC/-;DISTANCE=984;STRAND=1;SYMBOL_SOURCE=MGI
.	17:86020977-86020979	-	MGP_AJ_G0009559	MGP_AJ_T0011437.1	Transcript	upstream_gene_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Gm27801;BIOTYPE=misc_RNA;REF_ALLELE=GC;UPLOADED_ALLELE=GC/-;DISTANCE=634;STRAND=1;SYMBOL_SOURCE=MGI
.	17:86020977-86020979	-	MGP_AJ_G0009560	MGP_AJ_T0011438.1	Transcript	upstream_gene_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Gm27610;BIOTYPE=misc_RNA;REF_ALLELE=GC;UPLOADED_ALLELE=GC/-;DISTANCE=1897;STRAND=1;SYMBOL_SOURCE=MGI
.	17:86020977-86020979	-	MGP_AJ_G0009561	MGP_AJ_T0011439.1	Transcript	upstream_gene_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Gm27283;BIOTYPE=misc_RNA;REF_ALLELE=GC;UPLOADED_ALLELE=GC/-;DISTANCE=2195;STRAND=1;SYMBOL_SOURCE=MGI
.	17:86020977-86020979	-	MGP_AJ_G0009562	MGP_AJ_T0011440.1	Transcript	upstream_gene_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Gm27275;BIOTYPE=misc_RNA;REF_ALLELE=GC;UPLOADED_ALLELE=GC/-;DISTANCE=3940;STRAND=1;SYMBOL_SOURCE=MGI
.	17:86020977-86020979	-	MGP_AJ_G0015330	MGP_AJ_T0017584.1	Transcript	intron_variant,non_coding_transcript_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Six3os1;BIOTYPE=antisense;INTRON=1/1;REF_ALLELE=GC;UPLOADED_ALLELE=GC/-;STRAND=-1;SYMBOL_SOURCE=MGI
.	17:86020977-86020979	-	MGP_AJ_G0015330	MGP_AJ_T0017585.1	Transcript	intron_variant,non_coding_transcript_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Six3os1;BIOTYPE=antisense;INTRON=3/3;REF_ALLELE=GC;UPLOADED_ALLELE=GC/-;STRAND=-1;SYMBOL_SOURCE=MGI
.	17:86020977-86020979	-	MGP_AJ_G0015330	MGP_AJ_T0017586.1	Transcript	intron_variant,non_coding_transcript_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Six3os1;BIOTYPE=antisense;INTRON=2/2;REF_ALLELE=GC;UPLOADED_ALLELE=GC/-;STRAND=-1;SYMBOL_SOURCE=MGI
.	17:86020977-86020979	-	MGP_AJ_G0015330	MGP_AJ_T0017587.1	Transcript	non_coding_transcript_exon_variant	780-781	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Six3os1;BIOTYPE=antisense;EXON=4/4;REF_ALLELE=GC;UPLOADED_ALLELE=GC/-;STRAND=-1;SYMBOL_SOURCE=MGI
.	17:86020977-86020979	-	MGP_AJ_G0015330	MGP_AJ_T0017588.1	Transcript	intron_variant,non_coding_transcript_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Six3os1;BIOTYPE=antisense;INTRON=3/3;REF_ALLELE=GC;UPLOADED_ALLELE=GC/-;STRAND=-1;SYMBOL_SOURCE=MGI
.	17:86020977-86020979	-	MGP_AJ_G0015330	MGP_AJ_T0017589.1	Transcript	intron_variant,non_coding_transcript_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Six3os1;BIOTYPE=antisense;INTRON=2/2;REF_ALLELE=GC;UPLOADED_ALLELE=GC/-;STRAND=-1;SYMBOL_SOURCE=MGI
.	17:86020977-86020979	-	MGP_AJ_G0015330	MGP_AJ_T0017590.1	Transcript	non_coding_transcript_exon_variant	2599-2600	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Six3os1;BIOTYPE=retained_intron;EXON=3/3;REF_ALLELE=GC;UPLOADED_ALLELE=GC/-;STRAND=-1;SYMBOL_SOURCE=MGI
.	17:86020977-86020979	-	MGP_AJ_G0015330	MGP_AJ_T0017591.1	Transcript	intron_variant,non_coding_transcript_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Six3os1;BIOTYPE=antisense;INTRON=3/3;REF_ALLELE=GC;UPLOADED_ALLELE=GC/-;STRAND=-1;SYMBOL_SOURCE=MGI
.	17:86020977-86020979	-	MGP_AJ_G0015330	MGP_AJ_T0017592.1	Transcript	intron_variant,non_coding_transcript_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Six3os1;BIOTYPE=antisense;INTRON=2/2;REF_ALLELE=GC;UPLOADED_ALLELE=GC/-;STRAND=-1;SYMBOL_SOURCE=MGI
.	17:86020977-86020979	-	MGP_AJ_G0015330	MGP_AJ_T0017593.1	Transcript	downstream_gene_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Six3os1;BIOTYPE=antisense;REF_ALLELE=GC;UPLOADED_ALLELE=GC/-;DISTANCE=125;STRAND=-1;SYMBOL_SOURCE=MGI
